writer(1)     start:0.00000    end:0.64260 
writer(2)     start:0.64258    end:1.06897 
reader(2)  get:2   start:1.06891   end:1.41033 
reader(6)  get:2   start:1.06896   end:1.67017 
reader(4)  get:2   start:1.06888   end:1.87832 
reader(1)  get:2   start:1.06900   end:2.01728 
reader(7)  get:2   start:1.06904   end:2.37720 
reader(8)  get:2   start:1.06904   end:2.38924 
reader(3)  get:2   start:1.06890   end:2.71505 
reader(6)  get:2   start:1.78843   end:2.79091 
reader(4)  get:2   start:2.33960   end:2.82786 
reader(5)  get:2   start:1.06891   end:3.03213 
reader(2)  get:2   start:2.57657   end:3.17285 
reader(1)  get:2   start:2.57157   end:3.41089 
reader(6)  get:2   start:3.19231   end:3.48250 
reader(7)  get:2   start:3.65440   end:4.05855 
reader(8)  get:2   start:3.94167   end:4.45283 
reader(5)  get:2   start:4.50339   end:4.74166 
reader(1)  get:2   start:4.69320   end:4.86442 
reader(7)  get:2   start:4.69277   end:4.98907 
reader(6)  get:2   start:4.01091   end:5.14631 
reader(4)  get:2   start:3.37312   end:5.23666 
reader(3)  get:2   start:3.76135   end:5.64849 
reader(8)  get:2   start:4.66225   end:5.66242 
reader(2)  get:2   start:4.82916   end:6.22128 
reader(8)  get:2   start:5.80157   end:6.55883 
reader(1)  get:2   start:6.22762   end:6.76283 
reader(8)  get:2   start:6.60834   end:7.10169 
reader(5)  get:2   start:6.40795   end:7.21926 
reader(4)  get:2   start:6.61793   end:7.97463 
reader(1)  get:2   start:7.84027   end:8.17072 
reader(3)  get:2   start:7.54471   end:8.34514 
reader(6)  get:2   start:6.89782   end:8.44418 
reader(7)  get:2   start:6.77348   end:8.47978 
reader(2)  get:2   start:7.22564   end:8.85699 
reader(5)  get:2   start:8.10667   end:9.07198 
reader(6)  get:2   start:8.66655   end:9.31077 
reader(5)  get:2   start:9.17532   end:9.60355 
reader(1)  get:2   start:8.32112   end:9.85244 
reader(3)  get:2   start:9.66740   end:9.90876 
reader(8)  get:2   start:7.94122   end:9.98354 
reader(4)  get:2   start:9.26796   end:10.18913 
reader(7)  get:2   start:9.66395   end:10.28144 
reader(2)  get:2   start:9.92840   end:10.88074 
reader(8)  get:2   start:10.37483   end:10.98315 
reader(3)  get:2   start:10.41817   end:11.18548 
reader(4)  get:2   start:11.09150   end:11.31278 
reader(1)  get:2   start:10.19381   end:11.95910 
reader(6)  get:2   start:10.79499   end:12.31715 
reader(2)  get:2   start:11.83309   end:12.33431 
reader(8)  get:2   start:11.18144   end:12.46475 
reader(7)  get:2   start:11.30669   end:12.82085 
reader(5)  get:2   start:11.38481   end:13.33334 
reader(1)  get:2   start:12.44272   end:13.57103 
reader(3)  get:2   start:12.88305   end:13.89630 
reader(8)  get:2   start:13.16214   end:13.99238 
reader(4)  get:2   start:12.91791   end:14.09337 
reader(6)  get:2   start:13.94443   end:14.14572 
reader(7)  get:2   start:14.06726   end:14.66850 
reader(5)  get:2   start:14.02674   end:14.68788 
reader(1)  get:2   start:13.99929   end:15.08154 
reader(2)  get:2   start:13.47795   end:15.17121 
reader(4)  get:2   start:15.65861   end:15.83687 
reader(7)  get:2   start:15.83671   end:15.97287 
reader(6)  get:2   start:15.21511   end:16.07534 
reader(2)  get:2   start:15.83608   end:16.40325 
reader(8)  get:2   start:15.27262   end:16.43572 
reader(3)  get:2   start:14.93060   end:16.60895 
reader(1)  get:2   start:16.44769   end:16.89296 
reader(8)  get:2   start:16.86095   end:17.55630 
reader(2)  get:2   start:16.75053   end:17.56277 
reader(5)  get:2   start:15.67427   end:17.69642 
reader(4)  get:2   start:16.24210   end:17.77531 
reader(7)  get:2   start:17.62425   end:18.07263 
reader(1)  get:2   start:17.02105   end:18.26152 
reader(6)  get:2   start:17.25453   end:18.54080 
reader(4)  get:2   start:18.62246   end:19.29096 
reader(3)  get:2   start:17.58819   end:19.41449 
reader(8)  get:2   start:19.34443   end:19.57562 
reader(7)  get:2   start:19.04670   end:19.64309 
reader(5)  get:2   start:18.17376   end:19.91976 
reader(6)  get:2   start:19.09197   end:20.06118 
reader(1)  get:2   start:20.09500   end:20.37918 
reader(7)  get:2   start:20.39530   end:20.58174 
reader(4)  get:2   start:20.47916   end:20.76639 
reader(2)  get:2   start:19.54046   end:21.29582 
reader(4)  get:2   start:21.00458   end:21.39897 
reader(3)  get:2   start:20.20505   end:21.51438 
reader(4)  get:2   start:21.40746   end:21.81189 
reader(8)  get:2   start:21.30207   end:22.10923 
reader(5)  get:2   start:21.22496   end:22.75023 
reader(6)  get:2   start:20.96549   end:22.94033 
reader(1)  get:2   start:21.26532   end:23.02667 
reader(4)  get:2   start:22.35111   end:23.09836 
reader(7)  get:2   start:22.18075   end:23.66687 
reader(2)  get:2   start:23.12410   end:23.69745 
reader(3)  get:2   start:23.06851   end:24.29669 
reader(1)  get:2   start:23.84585   end:24.30320 
reader(5)  get:2   start:22.82441   end:24.36364 
reader(8)  get:2   start:23.61648   end:24.56978 
reader(5)  get:2   start:24.36377   end:24.75114 
reader(1)  get:2   start:24.50354   end:24.84315 
reader(7)  get:2   start:23.83911   end:25.25352 
reader(6)  get:2   start:24.45667   end:25.91211 
reader(8)  get:2   start:24.73023   end:26.03768 
reader(2)  get:2   start:25.47590   end:26.47230 
reader(5)  get:2   start:25.97240   end:26.47474 
reader(8)  get:2   start:26.46118   end:26.69062 
reader(3)  get:2   start:24.84012   end:26.76129 
reader(4)  get:2   start:24.96273   end:26.99122 
reader(1)  get:2   start:25.87749   end:27.45880 
reader(7)  get:2   start:26.63996   end:27.59237 
reader(2)  get:2   start:26.50573   end:27.80801 
reader(7)  get:2   start:27.86276   end:27.98995 
reader(8)  get:2   start:26.79387   end:28.21902 
reader(3)  get:2   start:27.82662   end:28.68599 
reader(5)  get:2   start:27.89413   end:28.70328 
reader(6)  get:2   start:27.39428   end:28.73282 
reader(4)  get:2   start:27.94745   end:29.09371 
reader(1)  get:2   start:28.11794   end:29.16617 
reader(8)  get:2   start:29.42642   end:29.56065 
reader(3)  get:2   start:28.83146   end:29.66889 
reader(6)  get:2   start:29.31715   end:30.42648 
reader(2)  get:2   start:28.96019   end:30.58867 
reader(7)  get:2   start:28.92923   end:30.68256 
reader(5)  get:2   start:30.42980   end:31.00607 
reader(6)  get:2   start:30.76697   end:31.13016 
reader(1)  get:2   start:29.85636   end:31.58157 
reader(6)  get:2   start:31.22043   end:31.78575 
reader(7)  get:2   start:31.64484   end:31.86218 
reader(8)  get:2   start:30.23096   end:31.97851 
reader(4)  get:2   start:30.72704   end:32.18523 
reader(1)  get:2   start:31.91391   end:32.62728 
reader(3)  get:2   start:30.80709   end:32.66424 
reader(4)  get:2   start:32.32688   end:32.74308 
reader(5)  get:2   start:32.58045   end:32.96373 
reader(7)  get:2   start:32.79746   end:33.13970 
reader(2)  get:2   start:32.33927   end:33.84574 
reader(6)  get:2   start:32.96092   end:33.92415 
reader(1)  get:2   start:33.68074   end:34.51692 
reader(3)  get:2   start:33.27956   end:34.91288 
reader(8)  get:2   start:33.65883   end:35.21706 
reader(6)  get:2   start:34.41038   end:35.32701 
reader(4)  get:2   start:34.55445   end:35.40374 
reader(7)  get:2   start:33.41588   end:35.47431 
reader(3)  get:2   start:35.04316   end:35.56459 
reader(5)  get:2   start:33.78296   end:35.73839 
reader(1)  get:2   start:35.36535   end:35.77579 
writer(1)     start:35.77621    end:36.82059 
writer(2)     start:36.82051    end:37.33288 
reader(6)  get:4   start:37.33276   end:38.02697 
reader(7)  get:4   start:37.33316   end:38.41344 
reader(4)  get:4   start:37.33283   end:38.46004 
reader(3)  get:4   start:37.33317   end:38.84647 
reader(2)  get:4   start:37.33285   end:39.04205 
reader(1)  get:4   start:37.33350   end:39.11784 
reader(8)  get:4   start:37.33270   end:39.28386 
reader(5)  get:4   start:37.33291   end:39.32334 
reader(6)  get:4   start:38.95433   end:39.68570 
reader(7)  get:4   start:39.55495   end:40.94031 
reader(3)  get:4   start:39.62765   end:41.18504 
reader(1)  get:4   start:40.27316   end:41.34641 
reader(8)  get:4   start:40.76324   end:41.43241 
reader(3)  get:4   start:41.39721   end:41.79352 
reader(5)  get:4   start:39.83075   end:41.81087 
reader(6)  get:4   start:40.58889   end:41.89618 
reader(4)  get:4   start:40.17652   end:42.04389 
reader(2)  get:4   start:40.80122   end:42.55845 
reader(7)  get:4   start:41.15360   end:42.76685 
reader(4)  get:4   start:42.34614   end:42.91667 
reader(1)  get:4   start:41.97168   end:43.17129 
reader(5)  get:4   start:42.70123   end:44.03140 
reader(8)  get:4   start:42.81158   end:44.26277 
reader(2)  get:4   start:44.19477   end:44.30120 
reader(6)  get:4   start:43.12655   end:44.33670 
reader(4)  get:4   start:44.48497   end:44.74915 
reader(1)  get:4   start:43.89366   end:44.82894 
reader(3)  get:4   start:43.00320   end:44.90360 
reader(8)  get:4   start:44.55513   end:45.74843 
reader(7)  get:4   start:44.37809   end:46.09427 
reader(4)  get:4   start:44.93362   end:46.73109 
reader(5)  get:4   start:45.20565   end:46.89691 
reader(1)  get:4   start:46.20735   end:47.00369 
reader(3)  get:4   start:46.21012   end:47.19261 
reader(8)  get:4   start:47.23681   end:47.67519 
reader(2)  get:4   start:45.93648   end:48.02975 
reader(6)  get:4   start:46.22397   end:48.07923 
reader(7)  get:4   start:47.06359   end:48.15091 
reader(1)  get:4   start:47.22777   end:48.72117 
reader(5)  get:4   start:47.63915   end:49.27860 
reader(7)  get:4   start:48.17717   end:50.01336 
reader(8)  get:4   start:48.86748   end:50.33771 
reader(6)  get:4   start:49.89849   end:50.35872 
reader(2)  get:4   start:49.03511   end:50.40331 
reader(4)  get:4   start:48.52635   end:50.45157 
reader(3)  get:4   start:49.16484   end:50.75729 
reader(4)  get:4   start:50.51074   end:50.87786 
reader(1)  get:4   start:50.59742   end:51.61950 
reader(8)  get:4   start:51.25022   end:51.69045 
reader(3)  get:4   start:51.34270   end:51.75811 
reader(6)  get:4   start:51.58195   end:51.78523 
reader(5)  get:4   start:50.81390   end:51.87825 
reader(5)  get:4   start:52.08085   end:52.47000 
reader(2)  get:4   start:51.77657   end:52.60394 
reader(6)  get:4   start:52.04757   end:52.69285 
