writer(1)     start:0.00000    end:0.31139 
writer(2)     start:0.31141    end:1.59570 
reader(8)  get:2   start:1.59580   end:2.18791 
reader(3)  get:2   start:1.59554   end:2.96578 
reader(1)  get:2   start:1.59559   end:3.02803 
reader(6)  get:2   start:1.59572   end:3.15791 
reader(2)  get:2   start:1.59496   end:3.19216 
reader(5)  get:2   start:1.59565   end:3.45583 
reader(7)  get:2   start:1.59573   end:3.46391 
reader(4)  get:2   start:1.59571   end:3.62586 
writer(1)     start:3.62644    end:5.26365 
writer(2)     start:5.26373    end:7.13817 
reader(1)  get:4   start:7.13849   end:7.34677 
reader(5)  get:4   start:7.13790   end:7.78335 
reader(4)  get:4   start:7.13867   end:7.84191 
reader(7)  get:4   start:7.13812   end:8.07359 
reader(4)  get:4   start:7.92313   end:8.07464 
reader(8)  get:4   start:7.13760   end:8.39191 
reader(2)  get:4   start:7.13731   end:8.76384 
reader(3)  get:4   start:7.13818   end:8.98254 
reader(6)  get:4   start:7.13850   end:9.19071 
reader(4)  get:4   start:8.08586   end:9.99738 
reader(7)  get:4   start:8.47881   end:10.35820 
reader(2)  get:4   start:9.68490   end:10.44814 
reader(1)  get:4   start:8.50937   end:10.46984 
reader(5)  get:4   start:8.91987   end:10.53310 
reader(6)  get:4   start:9.47796   end:10.61335 
reader(3)  get:4   start:10.17594   end:10.70315 
reader(8)  get:4   start:10.26014   end:10.90844 
reader(4)  get:4   start:10.83155   end:11.43839 
reader(5)  get:4   start:11.17138   end:11.72963 
reader(6)  get:4   start:11.45483   end:11.73802 
reader(2)  get:4   start:12.13627   end:12.47044 
reader(3)  get:4   start:11.12697   end:12.69113 
reader(1)  get:4   start:10.79154   end:12.83104 
reader(7)  get:4   start:12.28641   end:13.45505 
reader(5)  get:4   start:13.32403   end:13.63524 
reader(1)  get:4   start:13.23520   end:13.67936 
reader(8)  get:4   start:12.16661   end:14.26583 
reader(4)  get:4   start:12.85761   end:14.41996 
reader(7)  get:4   start:14.08629   end:15.12148 
reader(2)  get:4   start:14.07290   end:15.19507 
reader(6)  get:4   start:13.23842   end:15.25565 
reader(5)  get:4   start:14.14360   end:15.66580 
reader(3)  get:4   start:14.55762   end:15.80283 
reader(1)  get:4   start:14.55361   end:15.95382 
reader(4)  get:4   start:15.04318   end:16.16432 
reader(2)  get:4   start:16.27819   end:16.45640 
reader(8)  get:4   start:15.21501   end:16.84314 
reader(6)  get:4   start:15.79403   end:17.85124 
reader(5)  get:4   start:15.77003   end:17.85620 
reader(2)  get:4   start:17.59072   end:17.94587 
reader(8)  get:4   start:16.92443   end:18.02466 
reader(1)  get:4   start:17.53296   end:18.11818 
reader(7)  get:4   start:16.84462   end:18.18205 
reader(4)  get:4   start:17.62068   end:19.06484 
reader(7)  get:4   start:19.14154   end:19.40072 
reader(6)  get:4   start:18.31739   end:19.47657 
reader(2)  get:4   start:18.41208   end:19.65131 
reader(3)  get:4   start:17.64790   end:19.70715 
reader(4)  get:4   start:19.26797   end:19.82312 
reader(8)  get:4   start:18.92196   end:20.19727 
reader(1)  get:4   start:18.22834   end:20.20496 
reader(5)  get:4   start:19.38845   end:20.33286 
reader(4)  get:4   start:20.77268   end:20.91476 
reader(8)  get:4   start:21.00456   end:21.18872 
reader(3)  get:4   start:20.93640   end:21.53458 
reader(2)  get:4   start:20.15646   end:22.16359 
reader(7)  get:4   start:21.08795   end:22.22226 
reader(4)  get:4   start:21.69313   end:22.28044 
reader(6)  get:4   start:20.46989   end:22.51216 
reader(3)  get:4   start:21.57697   end:22.73413 
reader(8)  get:4   start:22.58799   end:23.25029 
reader(2)  get:4   start:22.22977   end:23.35499 
reader(7)  get:4   start:22.81980   end:23.93703 
reader(5)  get:4   start:22.31826   end:24.07441 
reader(6)  get:4   start:22.67538   end:24.19273 
reader(1)  get:4   start:22.16769   end:24.22297 
reader(7)  get:4   start:24.73239   end:24.90866 
reader(3)  get:4   start:23.05622   end:24.97437 
reader(8)  get:4   start:24.81756   end:25.02178 
reader(2)  get:4   start:23.36422   end:25.34464 
reader(3)  get:4   start:25.13460   end:25.34587 
reader(1)  get:4   start:24.69930   end:25.90063 
reader(4)  get:4   start:24.11090   end:25.99719 
reader(5)  get:4   start:24.58958   end:26.01676 
reader(6)  get:4   start:25.35315   end:26.05141 
reader(7)  get:4   start:26.06484   end:27.01524 
reader(4)  get:4   start:27.19259   end:27.30888 
reader(6)  get:4   start:26.70168   end:27.37285 
reader(2)  get:4   start:27.10582   end:27.43399 
reader(8)  get:4   start:25.71694   end:27.64418 
reader(3)  get:4   start:27.09927   end:28.09255 
reader(5)  get:4   start:26.86796   end:28.18022 
reader(1)  get:4   start:27.16696   end:28.46526 
reader(8)  get:4   start:27.95344   end:28.91589 
reader(1)  get:4   start:28.88468   end:29.12094 
reader(6)  get:4   start:28.45000   end:29.17916 
reader(2)  get:4   start:28.24630   end:30.09270 
reader(7)  get:4   start:28.83940   end:30.28164 
reader(5)  get:4   start:28.52347   end:30.47479 
reader(8)  get:4   start:29.01845   end:30.57160 
reader(6)  get:4   start:29.22933   end:30.60966 
reader(3)  get:4   start:30.06481   end:30.84001 
reader(4)  get:4   start:29.10413   end:31.10128 
reader(1)  get:4   start:30.53340   end:31.33459 
reader(7)  get:4   start:30.41202   end:31.83848 
reader(8)  get:4   start:30.66573   end:31.91823 
reader(4)  get:4   start:31.33153   end:32.59981 
reader(2)  get:4   start:31.33796   end:32.74623 
reader(6)  get:4   start:31.64292   end:33.28014 
reader(5)  get:4   start:32.12702   end:33.29235 
reader(3)  get:4   start:32.72128   end:34.29464 
reader(1)  get:4   start:33.00991   end:34.52883 
reader(8)  get:4   start:33.64562   end:34.72781 
reader(7)  get:4   start:33.38071   end:35.03487 
reader(2)  get:4   start:33.99754   end:35.10576 
reader(3)  get:4   start:34.58204   end:35.13532 
reader(5)  get:4   start:33.88469   end:35.58680 
reader(6)  get:4   start:34.16041   end:35.91258 
reader(4)  get:4   start:34.04216   end:36.09459 
reader(1)  get:4   start:35.15499   end:36.41624 
reader(5)  get:4   start:36.28207   end:36.49243 
reader(2)  get:4   start:36.76912   end:37.13838 
reader(3)  get:4   start:35.81178   end:37.29699 
reader(4)  get:4   start:37.01981   end:37.66597 
reader(6)  get:4   start:36.95383   end:37.86605 
reader(1)  get:4   start:36.68856   end:38.15994 
reader(7)  get:4   start:36.54419   end:38.29152 
reader(8)  get:4   start:36.70402   end:38.32132 
reader(5)  get:4   start:38.28263   end:38.73107 
reader(3)  get:4   start:37.52645   end:39.05274 
reader(8)  get:4   start:38.35862   end:39.09383 
reader(2)  get:4   start:38.21556   end:39.14395 
reader(5)  get:4   start:38.83075   end:39.42096 
reader(4)  get:4   start:38.89332   end:39.60352 
writer(1)     start:39.60411    end:39.93229 
writer(2)     start:39.93232    end:41.36311 
reader(1)  get:6   start:41.36323   end:41.65545 
reader(6)  get:6   start:41.36258   end:41.80090 
reader(4)  get:6   start:41.36295   end:42.02912 
reader(5)  get:6   start:41.36271   end:42.13911 
reader(8)  get:6   start:41.36291   end:42.20138 
reader(7)  get:6   start:41.36283   end:42.83207 
reader(3)  get:6   start:41.36317   end:42.84250 
reader(2)  get:6   start:41.36168   end:43.00493 
reader(1)  get:6   start:42.10080   end:43.43017 
reader(8)  get:6   start:43.44474   end:43.64319 
reader(7)  get:6   start:42.88947   end:44.14771 
reader(6)  get:6   start:43.40921   end:44.32369 
reader(4)  get:6   start:43.75033   end:44.34968 
reader(5)  get:6   start:43.08737   end:44.67682 
reader(2)  get:6   start:44.65709   end:45.45649 
reader(1)  get:6   start:43.57138   end:45.65162 
reader(3)  get:6   start:44.13878   end:46.10098 
reader(4)  get:6   start:45.13498   end:46.61111 
reader(6)  get:6   start:45.05189   end:46.69024 
reader(1)  get:6   start:46.29978   end:47.05099 
reader(7)  get:6   start:45.96115   end:47.10052 
reader(5)  get:6   start:45.29998   end:47.12325 
reader(8)  get:6   start:45.49557   end:47.16402 
reader(5)  get:6   start:47.12869   end:48.32805 
reader(2)  get:6   start:47.11787   end:48.71216 
reader(6)  get:6   start:47.83138   end:48.77563 
reader(4)  get:6   start:46.81530   end:48.79573 
reader(7)  get:6   start:47.48388   end:49.07811 
reader(3)  get:6   start:47.96518   end:49.21452 
reader(1)  get:6   start:47.76015   end:49.77322 
reader(8)  get:6   start:48.30920   end:49.85840 
reader(6)  get:6   start:50.08681   end:50.22804 
reader(3)  get:6   start:49.32775   end:50.61799 
reader(2)  get:6   start:50.36139   end:50.71053 
reader(5)  get:6   start:49.02328   end:50.77668 
reader(4)  get:6   start:48.85989   end:50.89407 
reader(5)  get:6   start:50.90593   end:51.21434 
reader(1)  get:6   start:49.91241   end:51.27668 
reader(7)  get:6   start:49.84352   end:51.33770 
reader(8)  get:6   start:50.26569   end:51.49295 
reader(7)  get:6   start:51.86696   end:52.19214 
reader(6)  get:6   start:51.23232   end:52.63958 
reader(2)  get:6   start:50.97883   end:52.70198 
reader(8)  get:6   start:52.27017   end:52.81141 
reader(1)  get:6   start:51.60207   end:52.87141 
reader(3)  get:6   start:51.82636   end:53.16273 
reader(8)  get:6   start:53.05966   end:53.54685 
reader(4)  get:6   start:52.81136   end:53.65653 
reader(5)  get:6   start:52.69358   end:54.27871 
reader(6)  get:6   start:53.73291   end:54.29316 
reader(1)  get:6   start:52.91581   end:54.50803 
reader(3)  get:6   start:54.15803   end:54.59320 
reader(2)  get:6   start:54.63428   end:54.88643 
reader(6)  get:6   start:54.45330   end:55.08251 
reader(4)  get:6   start:54.25098   end:55.19424 
reader(7)  get:6   start:53.61337   end:55.36566 
reader(2)  get:6   start:55.06357   end:55.42671 
reader(8)  get:6   start:55.00407   end:55.58134 
reader(5)  get:6   start:55.94693   end:56.15419 
reader(3)  get:6   start:54.96265   end:56.29575 
reader(6)  get:6   start:55.09178   end:56.39507 
reader(1)  get:6   start:55.64918   end:56.63447 
reader(3)  get:6   start:56.65193   end:57.05214 
reader(4)  get:6   start:56.69366   end:57.26112 
reader(7)  get:6   start:57.15887   end:57.41118 
reader(2)  get:6   start:56.04995   end:57.57824 
reader(8)  get:6   start:57.07850   end:58.23964 
reader(1)  get:6   start:56.87065   end:58.66389 
reader(5)  get:6   start:57.34253   end:58.90466 
reader(1)  get:6   start:58.94231   end:59.32942 
reader(8)  get:6   start:58.31486   end:59.90303 
reader(6)  get:6   start:57.86826   end:59.95943 
reader(5)  get:6   start:58.97686   end:60.01313 
reader(3)  get:6   start:58.56140   end:60.36164 
reader(2)  get:6   start:59.14064   end:60.36971 
reader(4)  get:6   start:58.66336   end:60.57357 
